,Unnamed: 0,Word,Meaning
67,113,abatis,Alt. of Abattis
68,114,abattis,"A means of defense formed by felled trees, the ends of whose branches are sharpened and directed outwards, or against the enemy."
69,115,abatised,Provided with an abatis.
70,116,abator,One who abates a nuisance.
71,118,abattoirs,of Abattoir
72,119,abattoir,"A public slaughterhouse for cattle, sheep, etc."
73,120,abature,Grass and sprigs beaten or trampled down by a stag passing through them.
74,121,abatvoix,The sounding-board over a pulpit or rostrum.
75,122,abawed,Astonished
76,123,abaxial,Alt. of Abaxile
77,124,abaxile,Away from the axis or central line
78,125,abay,Barking
79,126,abb,"Among weavers, yarn for the warp. Hence, abb wool is wool for the abb."
80,127,abba,Father
81,128,abbacies,of Abbacy
82,129,abbacy,"The dignity, estate, or jurisdiction of an abbot."
83,130,abbatial,Belonging to an abbey
84,131,abbatical,Abbatial.
85,132,abbe,"The French word answering to the English abbot, the head of an abbey"
86,133,abbess,"A female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks. See Abbey."
87,134,abbeys,of Abbey
88,135,abbey,"A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy"
89,137,abbot,The superior or head of an abbey.
90,139,abbotship,The state or office of an abbot.
91,140,abbreviated,of Abbreviate
92,141,abbreviating,of Abbreviate
93,142,abbreviate,To make briefer
94,148,abbreviation,"The act of shortening, or reducing."
95,152,abbreviator,One who abbreviates or shortens.
96,154,abbreviatory,Serving or tending to abbreviate
97,155,abbreviature,An abbreviation
98,157,abb wool,See Abb.
99,158,a b c,"The first three letters of the alphabet, used for the whole alphabet."
100,161,abdal,A religious devotee or dervish in Persia.
101,162,abderian,Given to laughter
102,163,abderite,"An inhabitant of Abdera, in Thrace."
103,164,abdest,Purification by washing the hands before prayer
104,165,abdicable,Capable of being abdicated.
105,166,abdicant,Abdicating
106,168,abdicated,of Abdicate
107,169,abdicating,of Abdicate
108,170,abdicate,"To surrender or relinquish, as sovereign power"
109,175,abdication,The act of abdicating
110,176,abdicative,"Causing, or implying, abdication."
111,177,abdicator,One who abdicates.
112,178,abditive,Having the quality of hiding.
113,179,abditory,A place for hiding or preserving articles of value.
114,180,abdomen,"The belly, or that part of the body between the thorax and the pelvis. Also, the cavity of the belly, which is lined by the peritoneum, and contains the stomach, bowels, and other viscera. In man, often restricted to the part between the diaphragm and the commencement of the pelvis, the remainder being called the pelvic cavity."
115,182,abdominal,Of or pertaining to the abdomen
116,184,abdominals,of Abdominal
117,185,abdominales,of Abdominal
118,188,abdominalia,A group of cirripeds having abdominal appendages.
119,189,abdominoscopy,Examination of the abdomen to detect abdominal disease.
120,190,abdominothoracic,"Relating to the abdomen and the thorax, or chest."
121,191,abdominous,Having a protuberant belly
122,192,abduced,of Abduce
123,193,abducing,of Abduce
124,194,abduce,To draw or conduct away
125,195,abducted,of Abduct
126,196,abducting,of Abduct
127,197,abduct,To take away surreptitiously by force
128,199,abduction,The act of abducing or abducting
129,203,abductor,One who abducts.
130,205,abeam,"On the beam, that is, on a line which forms a right angle with the ship's keel"
131,206,abear,To bear
132,208,abearance,Behavior.
133,209,abearing,Behavior.
134,210,abecedarian,One who is learning the alphabet
135,213,abecedary,"Pertaining to, or formed by, the letters of the alphabet"
136,215,abed,"In bed, or on the bed."
137,217,abegge,Same as Aby.
138,218,abele,The white poplar (Populus alba).
139,219,abelian,Alt. of Abelonian
140,220,abelite,Alt. of Abelonian
141,221,abelonian,"One of a sect in Africa (4th century), mentioned by St. Augustine, who states that they married, but lived in continence, after the manner, as they pretended, of Abel."
142,222,abelmosk,"An evergreen shrub (Hibiscus -- formerly Abelmoschus -- moschatus), of the East and West Indies and Northern Africa, whose musky seeds are used in perfumery and to flavor coffee"
143,223,aber-de-vine,"The European siskin (Carduelis spinus), a small green and yellow finch, related to the goldfinch."
144,224,aberr,To wander
145,225,aberrance,Alt. of Aberrancy
146,226,aberrancy,State of being aberrant
147,227,aberrant,Wandering
148,229,aberrate,To go astray
149,230,aberration,The act of wandering
150,236,aberrational,Characterized by aberration.
151,237,aberuncate,To weed out.
152,238,aberuncator,A weeding machine.
153,239,abetted,of Abet
154,240,abetting,of Abet
155,241,abet,To instigate or encourage by aid or countenance
156,245,abetment,The act of abetting
157,246,abettal,Abetment.
158,247,abetter,Alt. of Abettor
159,248,abettor,One who abets
160,249,abevacuation,A partial evacuation.
161,250,abeyance,Expectancy
162,252,abeyancy,Abeyance.
163,253,abeyant,Being in a state of abeyance.
164,254,abhal,The berries of a species of cypress in the East Indies.
165,255,abhominable,Abominable.
166,256,abhominal,Inhuman.
167,257,abhorred,of Abhor
168,258,abhorring,of Abhor
169,259,abhor,To shrink back with shuddering from
170,263,abhorrence,Extreme hatred or detestation
171,264,abhorrency,Abhorrence.
172,265,abhorrent,Abhorring
173,268,abhorrently,With abhorrence.
174,269,abhorrer,One who abhors.
175,270,abhorrible,Detestable.
176,273,abib,"The first month of the Jewish ecclesiastical year, corresponding nearly to our April. After the Babylonish captivity this month was called Nisan."
177,274,abidance,The state of abiding
178,275,abode,of Abide
179,276,abid,of Abide
180,277,abiding,of Abide
181,278,abide,To wait
182,285,abider,"One who abides, or continues."
183,288,abidingly,Permanently.
184,289,abies,"A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
185,290,abietene,A volatile oil distilled from the resin or balsam of the nut pine (Pinus sabiniana) of California.
186,291,abietic,Of or pertaining to the fir tree or its products
187,292,abietin,Alt. of Abietine
188,293,abietine,"A resinous obtained from Strasburg turpentine or Canada balsam. It is without taste or smell, is insoluble in water, but soluble in alcohol (especially at the boiling point), in strong acetic acid, and in ether."
189,294,abietinic,Of or pertaining to abietin
190,295,abietite,"A substance resembling mannite, found in the needles of the common silver fir of Europe (Abies pectinata)."
191,296,abigail,A lady's waiting-maid.
192,297,abiliment,Habiliment.
193,298,abilities,of Ability
194,299,ability,The quality or state of being able
195,300,abime,Alt. of Abyme
196,301,abyme,A abyss.
197,302,abiogenesis,The supposed origination of living organisms from lifeless matter
198,303,abiogenetic,Of or pertaining to abiogenesis.
199,304,abiogenist,One who believes that life can be produced independently of antecedent.
200,305,abiogenous,Produced by spontaneous generation.
201,306,abiogeny,Same as Abiogenesis.
202,307,abiological,Pertaining to the study of inanimate things.
203,308,abirritant,A medicine that diminishes irritation.
204,309,abirritate,To diminish the sensibility of
205,310,abirritation,A pathological condition opposite to that of irritation
206,311,abirritative,Characterized by abirritation or debility.
207,312,abit,3d sing. pres. of Abide.
208,313,abject,Cast down
209,317,abjectedness,A very abject or low condition
210,318,abjection,The act of bringing down or humbling.
211,321,abjectly,Meanly
212,322,abjectness,The state of being abject
213,323,abjudge,To take away by judicial decision.
214,324,abjudicate,To reject by judicial sentence
215,325,abjudication,Rejection by judicial sentence.
216,326,abjugate,To unyoke.
217,327,abjunctive,Exceptional.
218,328,abjuration,The act of abjuring or forswearing
219,330,abjuratory,Containing abjuration.
220,331,abjured,of Abjure
221,332,abjuring,of Abjure
222,333,abjure,To renounce upon oath
223,336,abjurement,Renunciation.
224,337,abjurer,One who abjures.
225,338,ablactate,To wean.
226,339,ablactation,"The weaning of a child from the breast, or of young beasts from their dam."
227,341,ablaqueate,"To lay bare, as the roots of a tree."
228,342,ablaqueation,The act or process of laying bare the roots of trees to expose them to the air and water.
229,343,ablastemic,Non-germinal.
230,344,ablation,A carrying or taking away
231,347,ablatitious,Diminishing
232,348,ablative,Taking away or removing.
233,351,ablaut,"The substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning"
234,352,ablaze,On fire
235,354,able,Fit
236,360,-able,An adjective suffix now usually in a passive sense
237,361,able-bodied,"Having a sound, strong body"
238,362,ablegate,To send abroad.
239,364,ablegation,The act of sending abroad.
240,365,able-minded,Having much intellectual power.
241,366,ableness,Ability of body or mind
242,367,ablepsy,Blindness.
243,368,abler,comp. of Able.
244,370,ablet,Alt. of Ablen
245,371,ablen,A small fresh-water fish (Leuciscus alburnus)
246,372,abligate,To tie up so as to hinder from.
247,373,abligurition,Prodigal expense for food.
248,374,ablins,Perhaps.
249,375,abloom,In or into bloom
250,376,ablude,To be unlike
251,377,abluent,Washing away
252,379,ablush,Blushing
253,380,ablution,The act of washing or cleansing
254,383,ablutionary,Pertaining to ablution.
255,384,abluvion,That which is washed off.
256,385,ably,In an able manner
257,386,-ably,A suffix composed of -able and the adverbial suffix -ly
258,387,abnegated,of Abnegate
259,388,abnegating,of Abnegate
260,389,abnegate,To deny and reject
261,390,abnegation,a denial
262,391,abnegative,Denying
263,392,abnegator,"One who abnegates, denies, or rejects anything."
264,393,abnet,The girdle of a Jewish priest or officer.
265,394,abnodate,To clear (tress) from knots.
266,395,abnodation,The act of cutting away the knots of trees.
267,396,abnormal,Not conformed to rule or system
268,397,abnormalities,of Abnormality
269,398,abnormality,The state or quality of being abnormal
270,400,abnormally,In an abnormal manner
271,401,abnormities,of Abnormity
272,402,abnormity,Departure from the ordinary type
273,403,abnormous,Abnormal
274,404,aboard,On board
275,408,abodance,An omen
276,416,abodement,A foreboding
277,417,aboding,A foreboding.
278,418,abolished,of Abolish
279,419,abolishing,of Abolish
280,420,abolish,To do away with wholly
281,422,abolishable,Capable of being abolished.
282,423,abolisher,One who abolishes.
283,424,abolishment,The act of abolishing
284,425,abolition,"The act of abolishing, or the state of being abolished"
285,426,abolitionism,The principles or measures of abolitionists.
286,427,abolitionist,"A person who favors the abolition of any institution, especially negro slavery."
287,428,abolitionize,To imbue with the principles of abolitionism.
288,429,aboma,A large South American serpent (Boa aboma).
289,430,abomasum,Alt. of Abomasus
290,431,abomasus,"The fourth or digestive stomach of a ruminant, which leads from the third stomach omasum. See Ruminantia."
291,432,abominable,"Worthy of, or causing, abhorrence, as a thing of evil omen"
292,434,abominableness,The quality or state of being abominable
293,435,abominably,In an abominable manner
294,436,abominated,of Abominate
295,437,abominating,of Abominate
296,438,abominate,To turn from as ill-omened
297,439,abomination,The feeling of extreme disgust and hatred
298,442,aboon,and adv. Above.
299,443,aboral,"Situated opposite to, or away from, the mouth."
300,444,abord,Manner of approaching or accosting
301,446,aboriginal,First
302,450,aboriginality,The quality of being aboriginal.
303,451,aboriginally,Primarily.
304,452,aborigines,The earliest known inhabitants of a country
305,454,aborsement,Abortment
306,455,aborsive,Abortive.
307,456,abort,To miscarry
308,460,aborted,Brought forth prematurely.
309,462,aborticide,The act of destroying a fetus in the womb
310,463,abortifacient,Producing miscarriage.
311,465,abortion,The act of giving premature birth
312,469,abortional,Pertaining to abortion
313,470,abortionist,One who procures abortion or miscarriage.
314,471,abortive,Produced by abortion
315,481,abortively,In an abortive or untimely manner
316,482,abortiveness,The quality of being abortive.
317,483,abortment,Abortion.
318,484,abought,imp. &amp
319,485,abounded,of Abound
320,486,abounding,of Abound
321,487,abound,To be in great plenty
322,489,about,Around
323,501,about-sledge,The largest hammer used by smiths.
324,502,above,In or to a higher place
325,509,aboveboard,Above the board or table. Hence: in open sight
326,510,above-cited,"Cited before, in the preceding part of a book or writing."
327,511,abovedeck,On deck
328,512,above-mentioned,Alt. of Above-named
329,513,above-named,Mentioned or named before
330,514,abovesaid,Mentioned or recited before.
331,515,abox,Braced aback.
332,516,abracadabra,A mystical word or collocation of letters written as in the figure. Worn on an amulet it was supposed to ward off fever. At present the word is used chiefly in jest to denote something without meaning
333,517,abradant,"A material used for grinding, as emery, sand, powdered glass, etc."
334,518,abraded,of Abrade
335,519,abrading,of Abrade
336,520,abrade,To rub or wear off
337,522,abrahamic,"Pertaining to Abraham, the patriarch"
338,523,abrahamitic,Alt. of ical
339,524,ical,Relating to the patriarch Abraham.
340,525,abraham-man,Alt. of Abram-man
341,526,abram-man,"One of a set of vagabonds who formerly roamed through England, feigning lunacy for the sake of obtaining alms."
342,527,abraid,To awake
343,528,abranchial,Abranchiate.
344,529,abranchiata,"A group of annelids, so called because the species composing it have no special organs of respiration."
345,530,abranchiate,Without gills.
346,531,abrase,Rubbed smooth.
347,532,abrasion,"The act of abrading, wearing, or rubbing off"
348,535,abrasive,Producing abrasion.
349,536,abraum,Alt. of Abraum salts
350,537,abraum salts,A red ocher used to darken mahogany and for making chloride of potassium.
351,538,abraxas,A mystical word used as a charm and engraved on gems among the ancients
352,539,abray,See Abraid.
353,540,abreast,"Side by side, with breasts in a line"
354,544,abregge,See Abridge.
355,545,abrenounce,To renounce.
356,546,abrenunciation,Absolute renunciation or repudiation.
357,547,abreption,A snatching away.
358,548,abreuvoir,"The joint or interstice between stones, to be filled with mortar."
359,549,abricock,See Apricot.
360,550,abridged,of Abridge
361,551,abridging,of Abridge
362,552,abridge,To make shorter
363,555,abridger,One who abridges.
364,556,abridgment,"The act of abridging, or the state of being abridged"
365,559,abroach,To set abroach
366,562,abroad,At large
367,566,abrogable,Capable of being abrogated.
368,567,abrogate,Abrogated
369,568,abrogated,of Abrogate
370,569,abrogating,of Abrogate
371,572,abrogation,The act of abrogating
372,573,abrogative,Tending or designed to abrogate
373,574,abrogator,One who repeals by authority.
374,575,abrood,In the act of brooding.
375,576,abrook,To brook
376,577,abrupt,Broken off
377,583,abruption,A sudden breaking off
378,584,abruptly,In an abrupt manner
379,586,abruptness,The state of being abrupt or broken
380,588,abscesses,of Abscess
381,589,abscess,"A collection of pus or purulent matter in any tissue or organ of the body, the result of a morbid process."
382,590,abscession,A separating
383,591,abscind,To cut off.
384,592,abscision,See Abscission.
385,593,abscisses,of Absciss
386,594,absciss,See Abscissa.
387,595,abscissas,of Abscissa
388,596,abscissae,of Abscissa
389,597,abscissa,"One of the elements of reference by which a point, as of a curve, is referred to a system of fixed rectilineal coordinate axes."
390,598,abscission,The act or process of cutting off.
391,601,absconded,of Abscond
392,602,absconding,of Abscond
393,603,abscond,"To hide, withdraw, or be concealed."
394,606,abscondence,Fugitive concealment
395,607,absconder,One who absconds.
396,608,absence,A state of being absent or withdrawn from a place or from companionship
397,611,absent,Being away from a place
398,614,absented,of Absent
399,615,absenting,of Absent
400,618,absentaneous,Pertaining to absence.
401,619,absentation,The act of absenting one's self.
402,620,absentee,"One who absents himself from his country, office, post, or duty"
403,621,absenteeism,The state or practice of an absentee
404,622,absenter,One who absents one's self.
405,623,absently,In an absent or abstracted manner.
406,624,absentment,The state of being absent
407,625,absent-minded,Absent in mind
408,626,absentness,The quality of being absent-minded.
409,627,absey-book,An A-B-C book
410,628,absinthate,A combination of absinthic acid with a base or positive radical.
411,629,absinth,Alt. of Absinthe
412,630,absinthe,The plant absinthium or common wormwood.
413,632,absinthial,Of or pertaining to wormwood
414,633,absinthian,Of the nature of wormwood.
415,634,absinthiate,To impregnate with wormwood.
416,635,absinthiated,Impregnated with wormwood
417,636,absinthic,Relating to the common wormwood or to an acid obtained from it.
418,637,absinthin,The bitter principle of wormwood (Artemisia absinthium).
419,638,absinthism,The condition of being poisoned by the excessive use of absinth.
420,639,absinthium,"The common wormwood (Artemisia absinthium), an intensely bitter plant, used as a tonic and for making the oil of wormwood."
421,640,absis,See Apsis.
422,641,absist,To stand apart from
423,642,absistence,A standing aloof.
424,643,absolute,Loosed from any limitation or condition
425,653,absolutely,"In an absolute, independent, or unconditional manner"
426,654,absoluteness,The quality of being absolute
427,655,absolution,"An absolving, or setting free from guilt, sin, or penalty"
428,661,absolutism,The state of being absolute
429,663,absolutist,One who is in favor of an absolute or autocratic government.
430,666,absolutistic,Pertaining to absolutism
431,667,absolutory,Serving to absolve
432,668,absolvable,That may be absolved.
433,669,absolvatory,Conferring absolution
434,670,absolved,of Absolve
435,671,absolving,of Absolve
436,672,absolve,"To set free, or release, as from some obligation, debt, or responsibility, or from the consequences of guilt or such ties as it would be sin or guilt to violate"
437,676,absolvent,Absolving.
438,678,absolver,One who absolves.
439,679,absonant,Discordant
440,680,absonous,Discordant
441,681,absorbed,of Absorb
442,682,absorbing,of Absorb
443,683,absorb,To swallow up
444,687,absorbability,The state or quality of being absorbable.
445,688,absorbable,Capable of being absorbed or swallowed up.
446,689,absorbedly,In a manner as if wholly engrossed or engaged.
447,690,absorbency,Absorptiveness.
448,691,absorbent,Absorbing
449,695,absorber,"One who, or that which, absorbs."
450,697,absorbition,Absorption.
451,698,absorpt,Absorbed.
452,699,absorption,"The act or process of absorbing or sucking in anything, or of being absorbed and made to disappear"
453,703,absorptive,"Having power, capacity, or tendency to absorb or imbibe."
454,704,absorptiveness,The quality of being absorptive
455,705,absorptivity,Absorptiveness.
456,706,absquatulate,To take one's self off
457,707,absque hoc,"The technical words of denial used in traversing what has been alleged, and is repeated."
458,708,abstained,of Abstain
459,709,abstaining,of Abstain
460,710,abstain,To hold one's self aloof
461,712,abstainer,One who abstains
462,713,abstemious,Abstaining from wine.
463,718,abstemiousness,"The quality of being abstemious, temperate, or sparing in the use of food and strong drinks. It expresses a greater degree of abstinence than temperance."
464,719,abstention,The act of abstaining
465,720,abstentious,Characterized by abstinence
466,721,absterge,To make clean by wiping
467,722,abstergent,"Serving to cleanse, detergent."
468,724,absterse,To absterge
469,725,abstersion,Act of wiping clean
470,726,abstersive,Cleansing
471,728,abstersiveness,The quality of being abstersive.
472,729,abstinence,The act or practice of abstaining
473,731,abstinency,Abstinence.
474,732,abstinent,"Refraining from indulgence, especially from the indulgence of appetite"
475,735,abstinently,With abstinence.
476,736,abstorted,Wrested away.
477,737,abstract,Withdraw
478,742,abstracted,of Abstract
479,743,abstracting,of Abstract
480,759,abstractedly,In an abstracted manner
481,760,abstractedness,The state of being abstracted
482,761,abstracter,"One who abstracts, or makes an abstract."
483,762,abstraction,"The act of abstracting, separating, or withdrawing, or the state of being withdrawn"
484,769,abstractional,Pertaining to abstraction.
485,770,abstractionist,An idealist.
486,771,abstractitious,Obtained from plants by distillation.
487,772,abstractive,Having the power of abstracting
488,773,abstractively,In a abstract manner
489,774,abstractiveness,The quality of being abstractive
490,775,abstractly,In an abstract state or manner
491,776,abstractness,The quality of being abstract.
492,777,abstringe,To unbind.
493,778,abstrude,To thrust away.
494,779,abstruse,Concealed or hidden out of the way.
495,781,abstrusely,In an abstruse manner.
496,782,abstruseness,The quality of being abstruse
497,783,abstrusion,The act of thrusting away.
498,784,abstrusity,Abstruseness
499,785,absume,To consume gradually
500,786,absumption,Act of wasting away
501,787,absurd,Contrary to reason or propriety
502,789,absurdities,of Absurdity
503,790,absurdity,"The quality of being absurd or inconsistent with obvious truth, reason, or sound judgment."
504,792,absurdly,In an absurd manner.
505,793,absurdness,Absurdity.
506,794,abuna,"The Patriarch, or head of the Abyssinian Church."
507,795,abundance,An overflowing fullness
508,796,abundant,Fully sufficient
509,797,abundantly,In a sufficient degree
510,798,aburst,In a bursting condition.
511,799,abusable,That may be abused.
512,800,abusage,Abuse.
513,801,abused,of Abuse
514,802,abusing,of Abuse
515,803,abuse,To put to a wrong use
516,814,abuseful,Full of abuse
517,815,abuser,One who abuses [in the various senses of the verb].
518,816,abusion,Evil or corrupt usage
519,817,abusive,Wrongly used
520,822,abusively,In an abusive manner
521,823,abusiveness,The quality of being abusive
522,824,abutted,of Abut
523,825,abutting,of Abut
524,826,abut,To project
525,827,abutilon,"A genus of malvaceous plants of many species, found in the torrid and temperate zones of both continents"
526,828,abutment,State of abutting.
527,833,abuttal,"The butting or boundary of land, particularly at the end"
528,834,abutter,"One who, or that which, abuts. Specifically, the owner of a contiguous estate"
529,835,abuzz,In a buzz
530,837,aby,Alt. of Abye
531,838,abye,To pay for
532,840,abysm,An abyss
533,841,abysmal,"Pertaining to, or resembling, an abyss"
534,842,abysmally,To a fathomless depth
535,843,abyss,"A bottomless or unfathomed depth, gulf, or chasm"
536,846,abyssal,"Belonging to, or resembling, an abyss"
537,847,abyssinian,Of or pertaining to Abyssinia.
538,850,acacia,"A roll or bag, filled with dust, borne by Byzantine emperors, as a memento of mortality. It is represented on medals."
539,851,acacias,of Acacia
540,852,acaciae,of Acacia
541,855,acacin,Alt. of Acacine
542,856,acacine,Gum arabic.
543,857,academe,An academy.
544,858,academial,Academic.
545,859,academian,"A member of an academy, university, or college."
546,860,academic,Alt. of Academical
547,861,academical,Belonging to the school or philosophy of Plato
548,865,academically,In an academical manner.
549,866,academicals,The articles of dress prescribed and worn at some colleges and universities.
550,867,academician,"A member of an academy, or society for promoting science, art, or literature, as of the French Academy, or the Royal Academy of arts."
551,869,academicism,A tenet of the Academic philosophy.
552,871,academism,The doctrines of the Academic philosophy.
553,872,academist,An Academic philosopher.
554,874,academies,of Academy
555,875,academy,"A garden or grove near Athens (so named from the hero Academus), where Plato and his followers held their philosophical conferences"
556,880,acadian,"Of or pertaining to Acadie, or Nova Scotia."
557,882,acajou,The cashew tree
558,884,acalephs,of Acalephan
559,885,acalephans,of Acalephan
560,886,acaleph,Alt. of Acalephan
561,887,acalephan,One of the Acalephae.
562,888,acalephae,"A group of Coelenterata, including the Medusae or jellyfishes, and hydroids"
563,889,acalephoid,Belonging to or resembling the Acalephae or jellyfishes.
564,890,acalycine,Alt. of Acalysinous
565,891,acalysinous,"Without a calyx, or outer floral envelope."
566,892,acanth,Same as Acanthus.
567,893,acantha,A prickle.
568,896,acanthaceous,"Armed with prickles, as a plant."
569,898,acanthine,"Of, pertaining to, or resembling, the plant acanthus."
570,899,acanthocarpous,Having the fruit covered with spines.
571,900,acanthocephala,"A group of intestinal worms, having the proboscis armed with recurved spines."
572,901,acanthocephalous,"Having a spiny head, as one of the Acanthocephala."
573,902,acanthophorous,Spine-bearing.
574,903,acanthopodious,Having spinous petioles.
575,904,acanthopteri,A group of teleostean fishes having spiny fins. See Acanthopterygii.
576,905,acanthopterous,Spiny-winged.
577,907,acanthopterygian,"Belonging to the order of fishes having spinose fins, as the perch."
578,909,acanthopterygii,"An order of fishes having some of the rays of the dorsal, ventral, and anal fins unarticulated and spinelike, as the perch."
579,910,acanthopterygious,Having fins in which the rays are hard and spinelike
580,911,acanthuses,of Acanthus
581,912,acanthi,of Acanthus
582,913,acanthus,"A genus of herbaceous prickly plants, found in the south of Europe, Asia Minor, and India"
583,915,a cappella,In church or chapel style
584,917,acapsular,Having no capsule.
585,918,acardiac,Without a heart
586,919,acaridan,"One of a group of arachnids, including the mites and ticks."
587,920,acarina,"The group of Arachnida which includes the mites and ticks. Many species are parasitic, and cause diseases like the itch and mange."
588,921,acarine,Of or caused by acari or mites
589,922,acaroid,Shaped like or resembling a mite.
590,923,acarpellous,Having no carpels.
591,924,acarpous,Not producing fruit
592,925,acari,of Acarus
593,926,acarus,A genus including many species of small mites.
594,927,acatalectic,Not defective
595,929,acatalepsy,Incomprehensibility of things
596,930,acataleptic,Incapable of being comprehended
597,931,acater,See Caterer.
598,932,acates,See Cates.
599,933,acaudate,Tailless.
600,934,acaulescent,"Having no stem or caulis, or only a very short one concealed in the ground."
601,935,acauline,Same as Acaulescent.
602,936,acaulose,Alt. of Acaulous
603,937,acaulous,Same as Acaulescent.
604,938,accadian,Pertaining to a race supposed to have lived in Babylonia before the Assyrian conquest.
605,939,acceded,of Accede
606,940,acceding,of Accede
607,941,accede,To approach
608,944,accedence,The act of acceding.
609,945,acceder,One who accedes.
610,946,accelerando,Gradually accelerating the movement.
611,947,accelerated,of Accelerate
612,948,accelerating,of Accelerate
613,949,accelerate,To cause to move faster
614,952,acceleration,"The act of accelerating, or the state of being accelerated"
615,953,accelerative,Relating to acceleration
616,954,accelerator,"One who, or that which, accelerates. Also as an adj."
617,955,acceleratory,Accelerative.
618,956,accelerograph,"An apparatus for studying the combustion of powder in guns, etc."
619,957,accelerometer,An apparatus for measuring the velocity imparted by gunpowder.
620,958,accend,To set on fire
621,959,accendibility,"Capacity of being kindled, or of becoming inflamed"
622,960,accendible,Capable of being inflamed or kindled
